Originality,Fluency,Elaboration,Creativity,Attractiveness,Emotion,Quality,Ngram,Novelty,Lexicla_idea,CLiN,Sum_TTCT_Metrics
1.8,2,2.8,2,1.8,1.8,0.8,13,0.09811548898153419,3,0.38,6.6
2.0,2.2,2.6,2.2,2.2,2.6,0.77,6,0.09220238047314912,7,0.25,6.8
1.6,2.4,2.2,1.6,1.6,1.6,0.74,16,0.014253124561718905,10,0.4,6.2
2.4,2.2,2.8,1.8,2,2.4,0.74,14,0.19945973285406762,1,0.46,7.4
2.2,1.2,1.8,1.6,1.6,2,0.75,8,0.20329607661112323,1,0.34,5.2
2.2,2,1.8,2.6,2.6,1.6,0.86,10,0.53603256,3,0.76,6
2.6,1.6,2.6,2.6,2.4,2.2,0.79,7,0.6257001,0,0.74,6.4
2.4,2.2,2.6,1.6,2,2.2,0.67,19,0.30877644393535386,7,0.73,6.8
2.4,1.8,2.8,2,2.4,2.6,0.72,16,0.12409224070953485,3,0.44,7
1.8,2,2.4,1.4,1.4,1.8,0.75,9,0.3414847177468162,4,0.57,5.8
2.0,1.8,2.8,1.8,2.2,2.2,0.78,14,0.15098726895237513,3,0.43,6.6
2.0,2.2,2,2,1.8,1,0.68,9,0.3208002441527271,4,0.53,6.2
2.2,2.2,1.8,1.6,1.6,1.8,0.91,10,0.21894628350967069,5,0.44,6.2
2.2,2,1.8,2.4,1.6,1.6,0.65,5,0.4887027,1,0.57,5.4
2.2,2.2,2.8,2.6,2.4,2.6,0.64,13,0.4652681922659848,2,0.74,7.2
1.6,1,1.4,1,1,1.4,0.77,8,0.054574296578995436,0,0.18,4
1.8,1.8,2,1.8,1.6,2.6,0.66,3,0.13185793360762613,1,0.17,5.6
2.4,2.6,2.8,2,2.4,2.2,0.61,23,0.49561954,4,1.01,7.8
1.8,2,2.2,1.8,1.2,1.4,0.85,13,0.23137109201327938,1,0.47,6
1.6,2.2,2.2,1.6,1.4,1.8,0.81,15,0.03703864736811868,8,0.41,6
1.8,2,2.6,1.4,2,2,0.62,17,0.01287039847096044,6,0.44,6.4
